universe,min_history_days,min_daily_dollar_volume,earliest_universe_date,weight_name,stop_lb,seed_asset,risk_off_asset,multiple,cagr,sharpe,max_drawdown,annualized_turnover
loose,30,5000000,2022-12-31,balanced,14,cash,btc,31.18885093074281,1.7349345175001698,1.6712559884443896,-0.5746927933893384,36.911421389108185
medium,60,10000000,2023-01-30,breakout,14,btc,btc,28.946156232899465,1.6758914563045701,1.640253374418817,-0.5682833972448134,36.911559601881244
medium,60,10000000,2023-01-30,breakout,14,eth,btc,28.946156232899465,1.6758914563045701,1.640253374418817,-0.5682833972448134,36.911559601881244
medium,60,10000000,2023-01-30,breakout,14,cash,btc,28.946156232899465,1.6758914563045701,1.640253374418817,-0.5682833972448134,36.911559601881244
medium,60,10000000,2023-01-30,short_accel,13,btc,cash,27.78226964166183,1.6439655010438075,1.763431121261971,-0.32877985413955824,15.81250953528477
medium,60,10000000,2023-01-30,short_accel,13,eth,cash,27.78226964166183,1.6439655010438075,1.763431121261971,-0.32877985413955824,15.81250953528477
medium,60,10000000,2023-01-30,short_accel,13,cash,cash,27.78226964166183,1.6439655010438075,1.763431121261971,-0.32877985413955824,15.81250953528477
loose,30,5000000,2022-12-31,short_accel,13,btc,cash,26.926190683247516,1.6198735136999787,1.7557693339530374,-0.328779854139558,16.39859946306739
loose,30,5000000,2022-12-31,short_accel,13,eth,cash,26.926190683247516,1.6198735136999787,1.7557693339530374,-0.328779854139558,16.39859946306739
loose,30,5000000,2022-12-31,short_accel,13,cash,cash,26.926190683247516,1.6198735136999787,1.7557693339530374,-0.328779854139558,16.39859946306739
medium,60,10000000,2023-01-30,base,13,btc,btc,26.8826733272367,1.6186344470970115,1.6367039202293596,-0.5398500349388449,36.32691324654983
medium,60,10000000,2023-01-30,base,13,eth,btc,26.8826733272367,1.6186344470970115,1.6367039202293596,-0.5398500349388449,36.32691324654983
medium,60,10000000,2023-01-30,base,13,cash,btc,26.8826733272367,1.6186344470970115,1.6367039202293596,-0.5398500349388449,36.32691324654983
medium,60,10000000,2023-01-30,short_accel,12,btc,cash,26.67540363433701,1.6127133159248328,1.7746215356262873,-0.2828111805229593,15.812042223482614
medium,60,10000000,2023-01-30,short_accel,12,eth,cash,26.67540363433701,1.6127133159248328,1.7746215356262873,-0.2828111805229593,15.812042223482614
medium,60,10000000,2023-01-30,short_accel,12,cash,cash,26.67540363433701,1.6127133159248328,1.7746215356262873,-0.2828111805229593,15.812042223482614
loose,30,5000000,2022-12-31,base,12,btc,btc,26.544953812461365,1.6089700101187372,1.668543607385712,-0.5381286115605208,35.74186531944077
