strategy,total_return,final_equity,cagr,vol,sharpe,maxdd,calmar,exposure,avg_gross,best_year,worst_year,beats_btc
BO_h2_lb45_ma100_x1,16.014568797903646,1701456.8797903645,0.6411862747625887,0.8198380295749943,0.9995684667311635,-0.6662580741788647,0.9623692374052263,0.5234674329501916,0.5242836011797314,9.258616441458702,-0.3929655345088382,True
BO_h3_lb30_ma20_x1,16.01086635135922,1701086.6351359219,0.64112383990985,0.8417307315443553,0.9905657351522236,-0.7213222957560397,0.8888174449645546,0.48659003831417624,0.4874627341770276,6.7546720531031035,-0.36161549176356445,True
BO_h2_lb30_ma20_x1,15.749424615879168,1674942.4615879168,0.6366864934040948,0.7871327520754082,1.0058425529745545,-0.7277667236808335,0.8748496910987064,0.48659003831417624,0.48748238583098147,7.31887054363904,-0.3948165510479733,True
BO_h2_lb14_ma20_x1.5,15.205063203419716,1620506.3203419715,0.6272607293924402,1.2163223768441433,0.980989121613159,-0.8520733831550231,0.7361581077322757,0.48659003831417624,0.731609220366987,10.865553031003497,-0.48898493864000225,True
BO_h3_lb45_ma50_x1.5,15.069698973345716,1606969.8973345717,0.6248763544499887,1.3246892051344918,0.9950474365458195,-0.9205753649783638,0.6787889163910823,0.5201149425287356,0.7833941353048326,12.379734017625202,-0.7457689745898308,True
BO_h2_lb14_ma20_x1,14.948366985883265,1594836.6985883266,0.6227250230354047,0.8025650684400569,0.9886254085918269,-0.6642344048831745,0.9375079316238211,0.48659003831417624,0.48770647092653,5.950457913765086,-0.3018052047213997,True
BO_h3_lb30_ma20_x1.5,14.63277050046522,1563277.050046522,0.617065267471899,1.2702400068140203,0.9814117292560784,-0.8844726247017086,0.6976646311467315,0.48659003831417624,0.7318709678433353,11.060168536120512,-0.5391268782218591,True
BO_h3_lb14_ma100_x1.5,14.567102482931865,1556710.2482931865,0.6158757745668821,1.2908320831906153,0.9894746978108768,-0.8228852295184559,0.7484345963133722,0.5234674329501916,0.7874467808468549,5.571085802937046,-0.5790562600749167,True
BO_h1_lb45_ma100_x1,14.384737397290785,1538473.7397290785,0.6125506083866776,1.106736384199084,0.9501550460704206,-0.7743669357155647,0.7910340435967111,0.5234674329501916,0.5243079759894521,6.061234587765708,-0.36871253883131994,True
BO_h3_lb14_ma100_x1,14.343044839758276,1534304.4839758277,0.6117858393410354,0.8555521284917814,0.9701370198353868,-0.6457825881117164,0.9473557364405126,0.5234674329501916,0.5247426969842784,3.634274057509497,-0.4088441978982047,True
BO_h1_lb30_ma20_x1,12.710886582931357,1371088.6582931357,0.5804058935797625,1.0407564496483324,0.9252856995450118,-0.7895914840013266,0.7350711163176468,0.48659003831417624,0.48745774910876344,6.264856533596652,-0.3138516289609645,True
BO_h2_lb21_ma20_x1.25,10.760537822272227,1176053.7822272226,0.5385786239895636,1.0100085098370246,0.9129744153585981,-0.9046607620524946,0.595337663112122,0.48659003831417624,0.6088172122773805,9.665492138034997,-0.5618314288876562,True
BO_h1_lb45_ma100_x1.25,10.622409901919442,1162240.9901919442,0.535404302327477,1.3863316885282797,0.9561473805663523,-0.8591442214593326,0.6231832665044821,0.5234674329501916,0.6566512640777158,6.690740314088958,-0.4727763451639876,True
BO_h2_lb21_ma20_x1,10.475331833290255,1147533.1833290255,0.5319898893476369,0.8076602383287396,0.9181197063459651,-0.8373598731334377,0.6353181068456352,0.48659003831417624,0.4875954096299992,6.976766761035265,-0.471849015107597,True
BO_h1_lb30_ma20_x1.25,9.337836623101373,1033783.6623101373,0.5042875324503282,1.2988985471333294,0.9169517301886113,-0.8646677712913423,0.5832153680218676,0.48659003831417624,0.6099622100188701,7.232555783535265,-0.4037324459940672,True
BO_h2_lb45_ma50_x2,9.297365893049882,1029736.5893049883,0.5032564172344465,1.7542459194121307,1.0583550741127818,-0.9562451692946927,0.526283879275059,0.5201149425287356,1.0522987921536155,26.486752102132083,-0.8566035740273321,True
