date,2bps,20bps,50bps,100bps
2024-11-11,0.12191511596991678,0.12163467444093334,0.12116727189262799,0.12038826764545196
2024-11-12,0.028630104608915907,0.0284370456368066,0.028115280683290944,0.02757900576076522
2024-11-13,0.023153497730979966,0.02310643586444394,0.023027999420217382,0.022897272013173264
2024-11-14,-0.03948957671938802,-0.03980002556152551,-0.040317440298421325,-0.04117979819324746
2024-11-15,0.036514023973709175,0.03613186014439762,0.035494920428878585,0.034433354236346636
2024-11-16,-0.023415189269036407,-0.02368227268115286,-0.0241274117013468,-0.024869310068336814
2024-11-17,0.0049922292374537935,0.004908640614428306,0.004769326242719085,0.00453713562320357
2024-11-18,0.00879616682201445,0.008738696212254649,0.008642911862654978,0.008483271279988935
2024-11-19,0.03356454876165005,0.03352947440152043,0.03347101713463818,0.03337358835650117
2024-11-20,-0.02168060079058287,-0.021715689616316536,-0.021774170992539088,-0.021871639952910193
2024-11-21,0.01916208764539773,0.01897878719701196,0.018673286449702342,0.018164118537519425
2024-11-22,0.06443158011575956,0.06424828272129068,0.06394278706384249,0.06343362763476246
2024-11-23,0.10966370732265096,0.10933736514936676,0.10879346152722635,0.10788695549032545
2024-11-24,0.007429621090294214,0.007240234700562009,0.00692459071767515,0.006398517412863569
2024-11-25,-0.04671045843813704,-0.04683707141157545,-0.04704809303397295,-0.047399795737968486
2024-11-26,-0.026982066113472536,-0.027256349887220033,-0.02771348951013264,-0.028475388881653685
2024-11-27,0.03550606127941336,0.03518160117878355,0.03464083434440046,0.03373955628709524
2024-11-28,0.011611804299325623,0.011402727477471064,0.011054266107713762,0.010473497158118406
2024-11-29,0.03914830963639848,0.039111739129143785,0.03905078828371922,0.03894920354134479
2024-11-30,-0.016466676516883716,-0.016512795709355932,-0.0165896610301427,-0.016717769898120904
2024-12-01,0.03292771058553834,0.03292771058553834,0.03292771058553834,0.03292771058553834
2024-12-02,-0.023065648691676155,-0.023065648691676155,-0.023065648691676155,-0.023065648691676155
2024-12-03,-0.019194554683068854,-0.019221124540125256,-0.01926540763521911,-0.019339212793709204
2024-12-04,-0.015495341680177965,-0.01551445067161561,-0.015546298990678387,-0.015599379522449608
2024-12-05,-0.012026199927425263,-0.012048782189837737,-0.012086419293858452,-0.012149147800559645
2024-12-06,0.024142607068234234,0.024142607068234234,0.024142607068234234,0.024142607068234234
2024-12-07,0.003383488945681634,0.003383488945681634,0.003383488945681634,0.003383488945681634
2024-12-08,-0.007019009885302352,-0.007305169615530183,-0.007782102499243271,-0.008576990638764936
2024-12-09,-0.05693839717617566,-0.05718355293545585,-0.05759214586758965,-0.05827313408781243
2024-12-10,0.015071128402512013,0.014732744340248072,0.014168770903141725,0.013228815174631148
2024-12-11,0.009494680482523554,0.009376351964193619,0.009179137766977208,0.008850447438283338
2024-12-12,-0.009415548250888195,-0.00951329099346454,-0.009676195564425005,-0.00994770318269278
2024-12-13,0.02557426683703179,0.02544045831147579,0.025217444102215714,0.024845753753448774
2024-12-14,-0.021648751011620893,-0.021679974249532497,-0.02173201297938543,-0.021818744195806872
2024-12-15,0.0020528407852045127,0.002007414174646671,0.0019317031570504906,0.0018055181277234489
2024-12-16,-0.014696765600248018,-0.014696765600248018,-0.014696765600248018,-0.014696765600248018
2024-12-17,0.002218455814576137,0.002218455814576137,0.002218455814576137,0.002218455814576137
2024-12-18,-0.015374740403190201,-0.01539104660988222,-0.01541822362103551,-0.015463518639624363
2024-12-19,-0.004778401283856204,-0.004778401283856204,-0.004778401283856204,-0.004778401283856204
2024-12-20,0.002524916718873005,0.002524916718873005,0.002524916718873005,0.002524916718873005
2024-12-21,-0.020190486978557964,-0.02022069737152543,-0.02027104802647106,-0.020354965784713963
2024-12-22,0.013188125651520277,0.013188125651520277,0.013188125651520277,0.013188125651520277
2024-12-23,0.032090089725775206,0.032090089725775206,0.032090089725775206,0.032090089725775206
2024-12-24,0.037699894664166456,0.03751488797361824,0.03720654348937158,0.036692636015627
2024-12-25,-0.015546668446927536,-0.015723169726923336,-0.016017338526916336,-0.016507619860237965
2024-12-26,-0.011392082138235726,-0.01156171858265187,-0.01184444599001222,-0.012315658335612878
2024-12-27,-0.00032994048159351586,-0.00036500653758420043,-0.0004234499642352674,-0.000520855675320453
2024-12-28,0.0079728337955014,0.007913004262859236,0.007813288375122296,0.007647095228894285
2024-12-29,-0.03177935191255399,-0.03187594806384686,-0.032036941649334905,-0.032305264291814906
2024-12-30,0.0022433035294056047,0.002218523311730003,0.0021772229489374073,0.002108389010949452
2024-12-31,-0.01774743647045751,-0.01786306465432197,-0.01805577829409588,-0.018376967693718882
2025-01-01,0.01595507558473841,0.01584177502070694,0.015652940747321153,0.015338216958345141
2025-01-02,0.01733816492857665,0.01707224630352555,0.016629048595107276,0.01589038574774304
2025-01-03,0.017265525145203853,0.01619044735616293,0.014398651041094501,0.01141232384931401
2025-01-04,0.0017402645374420267,0.0013949687169005909,0.0008194756826647165,-0.00013967937439518519
2025-01-05,-0.005574294796610424,-0.0058633238255974,-0.006345038873909248,-0.007147897287762217
2025-01-06,0.0001602771712438944,-0.0001274397749538858,-0.0006069680186169268,-0.0014061817580552916
2025-01-07,-0.0289046865773962,-0.029277485427006367,-0.029898816843023313,-0.030934369203051704
2025-01-08,0.0036589401664453014,0.0035952196317363683,0.003489018740554739,0.0033120172552523197
2025-01-09,-0.017589131762916543,-0.01766440042312678,-0.017789848190143842,-0.01799892780183876
2025-01-10,0.033972383148268115,0.03393653951012743,0.033876800113226135,0.03377723445172398
2025-01-11,-0.0016978239204090695,-0.0016978239204090695,-0.0016978239204090695,-0.0016978239204090695
2025-01-12,-0.014636984428280209,-0.014965581312845089,-0.015513242787120185,-0.016426011910911642
2025-01-13,-0.01750425399541722,-0.01776686726917376,-0.01820455605876825,-0.01893403737475896
2025-01-14,0.003925931467481991,0.003636056013087696,0.0031529302557640193,0.002347720660224706
2025-01-15,0.02240770582467344,0.022348181766843167,0.022248975003792415,0.022083630398707976
2025-01-16,0.026303123185402066,0.025227642995070854,0.02343517601118572,0.02044773103804376
2025-01-17,0.011413882296836153,0.011295451925213973,0.011098067972510783,0.010769094718005245
2025-01-18,-0.012068469083132638,-0.012235549785458044,-0.012514017622667017,-0.01297813068468201
2025-01-19,-0.04522258154930592,-0.04545602088997169,-0.045845086457747874,-0.04649352907070836
2025-01-20,0.028711893272035605,0.028477731643862025,0.02808746226357295,0.027437013296424118
2025-01-21,0.012664425017374414,0.012444179658746446,0.012077104061033461,0.011465311398178413
2025-01-22,-0.005216473160167268,-0.005238828105484705,-0.005276086347680398,-0.005338183418006626
