cycle_days,target_volatility,vol_window,stop_mode,offset_days,cost_bps,multiple,cagr,sharpe,max_drawdown,annualized_turnover,average_exposure,average_holdings
14,0.6,30,own75,2,20.0,10.435923284266433,0.6430101185618591,1.1515554344158243,-0.4941853631111247,27.07918901108171,0.6145523110978793,0.8620289855072464
14,0.8,30,none,2,2.0,10.880053221632458,0.6575717814174109,1.055921350820904,-0.5931959069505017,33.550785311489214,0.830879931460222,0.9982608695652174
14,0.8,30,none,2,20.0,8.174255102777362,0.5602016600879094,0.9722251953879957,-0.6038580232416718,33.550785311489214,0.830879931460222,0.9982608695652174
14,0.8,30,own75,2,2.0,13.485246129944832,0.7346436122794557,1.1395127290815232,-0.5601918276910798,31.347756088549293,0.7130959583466177,0.8620289855072464
14,0.8,30,own75,2,20.0,10.324026062555161,0.6392644655387256,1.0572323938283823,-0.5784560505348747,31.347756088549293,0.7130959583466177,0.8620289855072464
14,0.3,30,none,3,2.0,5.340278226599467,0.42573101517568457,1.233404867447649,-0.25716236195756426,17.53703111732919,0.406756801186849,0.9976811594202899
14,0.3,30,none,3,20.0,4.599476477312301,0.3813591006821331,1.138084247137112,-0.2685179980372203,17.53703111732919,0.406756801186849,0.9976811594202899
14,0.3,30,own75,3,2.0,4.817151403138186,0.3949488089672746,1.202856281045348,-0.27429490584974847,16.565145598677727,0.33626577067909325,0.847536231884058
14,0.3,30,own75,3,20.0,4.1834281082207765,0.35390726034988584,1.109074846000972,-0.284332473539579,16.565145598677727,0.33626577067909325,0.847536231884058
14,0.4,30,none,3,2.0,6.663918986736824,0.49416146342253886,1.1433786941266897,-0.3286218193466426,22.24667154592992,0.5137078951353126,0.9976811594202899
14,0.4,30,none,3,20.0,5.513637374862044,0.435406884541895,1.0505463902093903,-0.3410873926532395,22.24667154592992,0.5137078951353126,0.9976811594202899
14,0.4,30,own75,3,2.0,5.994859916042891,0.46106317937961716,1.1194020823171447,-0.3465167372959749,20.809761385795603,0.42556334893384673,0.847536231884058
14,0.4,30,own75,3,20.0,5.02122288004401,0.4072564271266421,1.028957848406793,-0.36539796026502824,20.809761385795603,0.42556334893384673,0.847536231884058
14,0.5,30,none,3,2.0,7.593179688317159,0.5360332065487448,1.0760527623691276,-0.3966764377968438,26.467562875165306,0.6083054038744576,0.9976811594202899
14,0.5,30,none,3,20.0,6.06037575165931,0.46442929672937106,0.98534260013043,-0.4144064375187474,26.467562875165306,0.6083054038744576,0.9976811594202899
14,0.5,30,own75,3,2.0,6.896710023834683,0.5050631015573617,1.0589317085826815,-0.42802748277482616,24.624809042916333,0.5054358091362429,0.847536231884058
14,0.5,30,own75,3,20.0,5.591727985486802,0.4396872463071595,0.9710653968301108,-0.4554147295155273,24.624809042916333,0.5054358091362429,0.847536231884058
14,0.6,30,none,3,2.0,8.422832945633337,0.5701284144213912,1.0434066557958468,-0.45956975978255965,29.97617077285851,0.6881868758432443,0.9976811594202899
14,0.6,30,none,3,20.0,6.524321205281892,0.4874792848147744,0.9542251586483527,-0.47313359812189026,29.97617077285851,0.6881868758432443,0.9976811594202899
14,0.6,30,own75,3,2.0,7.86855122022447,0.5476619244125533,1.037356501467233,-0.4747734107984134,27.727321868329604,0.5733566601290778,0.847536231884058
14,0.6,30,own75,3,20.0,6.21309104120075,0.4721656506161864,0.9514644298287903,-0.49803889975023796,27.727321868329604,0.5733566601290778,0.847536231884058
14,0.8,30,none,3,2.0,8.237481047353903,0.5627488630966389,0.9652820758965469,-0.570824366114668,35.6625843250528,0.8106315786132359,0.9976811594202899
14,0.8,30,none,3,20.0,6.078510407439423,0.4653559604891242,0.878737462511003,-0.5839767955820193,35.6625843250528,0.8106315786132359,0.9976811594202899
14,0.8,30,own75,3,2.0,7.758114526894322,0.5430374078463787,0.9572853797920743,-0.584039648298623,32.82211121817986,0.6785256242838839,0.847536231884058
14,0.8,30,own75,3,20.0,5.8653473637453555,0.45432274743209233,0.8744017867458828,-0.6223548782611299,32.82211121817986,0.6785256242838839,0.847536231884058
14,0.3,30,none,4,2.0,8.633504926454398,0.5783622102257331,1.5119212432756608,-0.30704527467827203,17.57197533414031,0.43044916320759485,0.9971014492753624
14,0.3,30,none,4,20.0,7.433577233494505,0.5291403288060557,1.418461994205978,-0.31296420729890584,17.57197533414031,0.43044916320759485,0.9971014492753624
14,0.3,30,own75,4,2.0,7.3361393250353215,0.5248746458323397,1.457232899464491,-0.2831838418455378,15.726926536022269,0.3530648853734897,0.8394202898550724
