date,coin_id,symbol,name,price,volume_usd,market_cap,price_source,volume_source,market_cap_source,current_market_cap,current_rank
2022-05-25,the-open-network,TON,Toncoin,0.0,0.0,0.0,cryptocompare,cryptocompare,proxy_anchor,3432102503.0,33.0
2022-05-25,world-liberty-financial,WLFI,World Liberty Financial,0.0,0.0,0.0,cryptocompare,cryptocompare,proxy_anchor,2514622744.0,37.0
2022-05-25,bittensor,TAO,Bittensor,0.0,0.0,0.0,cryptocompare,cryptocompare,proxy_anchor,2335646118.0,39.0
2022-05-25,sky,SKY,Sky,0.0,0.0,0.0,cryptocompare,cryptocompare,proxy_anchor,1842792529.0,45.0
2022-05-25,aster-2,ASTER,Aster,0.0,0.0,0.0,cryptocompare,cryptocompare,proxy_anchor,1666102901.0,50.0
2022-05-25,htx-dao,HTX,HTX DAO,0.0,0.0,0.0,cryptocompare,cryptocompare,proxy_anchor,1644315922.0,51.0
2022-05-25,bitget-token,BGB,Bitget Token,0.0,0.0,0.0,cryptocompare,cryptocompare,proxy_anchor,1329292631.0,58.0
2022-05-25,render-token,RENDER,Render,0.0,0.0,0.0,cryptocompare,cryptocompare,proxy_anchor,928908961.0,73.0
2022-05-25,arbitrum,ARB,Arbitrum,0.0,0.0,0.0,cryptocompare,cryptocompare,proxy_anchor,768404106.0,80.0
2022-05-25,optimism,OP,Optimism,0.0,0.0,0.0,cryptocompare,cryptocompare,proxy_anchor,263455782.0,152.0
2022-05-25,eos,EOS,EOS,1.323,5465036.45,0.0,cryptocompare,cryptocompare,proxy_anchor,0.0,
2022-05-25,maker,MKR,Maker,1258.86,4501059.41,0.0,cryptocompare,cryptocompare,proxy_anchor,0.0,
2022-05-25,fantom,FTM,Fantom,0.4028,14466445.84,0.0,cryptocompare,cryptocompare,proxy_anchor,0.0,
2022-05-26,pepe,PEPE,Pepe,0.03824,125.13,16071834019189.791,cryptocompare,cryptocompare,proxy_anchor,1590073814.0,52.0
2022-05-26,bitcoin,BTC,Bitcoin,29188.71,1314694988.34,584310849357.3998,cryptocompare,cryptocompare,proxy_anchor,1515152852412.0,1.0
2022-05-26,ethereum,ETH,Ethereum,1791.0,1030348371.06,216185550646.81488,cryptocompare,cryptocompare,proxy_anchor,277796098715.0,2.0
2022-05-26,binancecoin,BNB,BNB,302.87,93402030.62,40816923072.905464,cryptocompare,cryptocompare,proxy_anchor,85130812268.0,5.0
