family,variant_id,cost_bps,phase_median_multiple,phase_min_multiple,phase_max_multiple,phase_median_sharpe,phase_worst_drawdown,phase_median_turnover,phase_median_holdings
trailing_grid,trailing_lb20_c2,20.0,1.9347338089578443,0.29254971742654823,12.111908147235292,0.5153629854382598,-0.858648148720307,16.92753623188406,0.30492753623188407
trailing_grid,trailing_lb30_c2,2.0,3.3901619528567677,0.293776132002054,34.3792132009767,0.6931673034782595,-0.8468307628248225,17.139130434782608,0.3507246376811594
trailing_grid,trailing_lb30_c2,20.0,2.961397843151512,0.2566244306797323,29.923132880665406,0.6522081447626461,-0.8582549036428766,17.139130434782608,0.3507246376811594
trailing_grid,trailing_lb50_c2,2.0,3.341902906982752,0.4240744654167632,28.94745427653845,0.7082044077598135,-0.8011494065031848,16.71594202898551,0.3855072463768116
trailing_grid,trailing_lb50_c2,20.0,2.908694092813088,0.3625089272158411,25.195013619400363,0.6627699286642208,-0.8136470195092327,16.71594202898551,0.3855072463768116
trailing_grid,trailing_lb5_c2,2.0,1.2312603308484378,0.3403143600423779,11.942925209820963,0.31384685289537656,-0.7218676001654369,16.92753623188406,0.15594202898550724
trailing_grid,trailing_lb5_c2,20.0,1.07754748381775,0.3010664430252971,10.19156706069481,0.2505332029662415,-0.7407429774571785,16.92753623188406,0.15594202898550724
trailing_grid,trailing_lb65_c2,2.0,1.696177768834245,0.34097295342991213,22.71124137239823,0.4829422050832811,-0.8757914914676298,15.446376811594204,0.3843478260869565
trailing_grid,trailing_lb65_c2,20.0,1.4869769119464413,0.29677047967120485,19.76711855554276,0.44230177807225896,-0.8838079322060673,15.446376811594204,0.3843478260869565
trailing_grid,trailing_lb7_c2,2.0,2.125724628481423,0.43137633242766776,6.6906122614403065,0.5819479046341308,-0.6622708631859076,16.92753623188406,0.19130434782608696
trailing_grid,trailing_lb7_c2,20.0,1.8469768101091983,0.3674489996470628,5.918947460814921,0.5107617470601408,-0.6858547288678652,16.92753623188406,0.19130434782608696
