tranches,shift_days,offsets,cost_bps,multiple,cagr,sharpe,max_drawdown
1,15,15,20.0,6.20515942350367,0.4717675572229989,0.9606786526456753,-0.676259618782496
1,16,16,20.0,2.0057061662040834,0.1587643063189519,0.5333049163300269,-0.6882361702733171
1,17,17,20.0,3.425121146683164,0.29777663790158604,0.7434312554281282,-0.5183028415149484
1,18,18,20.0,1.7542108915645274,0.1263574912420684,0.4778561168729369,-0.5614942124576285
1,19,19,20.0,2.914013993708495,0.2541247710433987,0.693627070976526,-0.6679729085649269
1,20,20,20.0,12.867843112695622,0.7175174607275712,1.2760684622412815,-0.5679165884034829
3,0,"0,7,14",20.0,6.056199140449268,0.4642155662257581,1.0677219195352239,-0.4309619204019828
3,1,"1,8,15",20.0,2.478701813318965,0.21189211034823496,0.6728120420770634,-0.4739446880894803
3,2,"2,9,16",20.0,3.063721711967453,0.2674978041539393,0.756340184143962,-0.49199555316823207
3,3,"3,10,17",20.0,5.79181183552802,0.4504432386013313,1.0215855716570368,-0.45399134549846065
