,btc_above_ma,tracked_total_mcap_above_ma,bull,tracked_total_market_cap,tracked_alt_market_cap
2023-12-17,True,True,True,1381255810837.699,553507180609.2355
2023-12-18,True,True,True,1415402273128.2388,561612726107.4069
2023-12-19,True,True,True,1399385781456.5688,553247061194.2988
2023-12-20,True,True,True,1443884456370.4644,569683362746.8953
2023-12-21,True,True,True,1471368703047.9766,593061838556.0408
2023-12-22,True,True,True,1490826114350.122,609856204033.6187
2023-12-23,True,True,True,1491042504438.112,615583455469.0132
2023-12-24,True,True,True,1471059327990.4714,609805925931.7529
2023-12-25,True,True,True,1496592858343.3484,623915564224.899
2023-12-26,True,True,True,1462511287999.9563,611383185332.8511
2023-12-27,True,True,True,1506080615673.3914,635894609631.8229
2023-12-28,True,True,True,1476386785200.9146,623824965763.4902
2023-12-29,True,True,True,1459330163628.9875,617084819164.8094
2023-12-30,True,True,True,1457991107399.499,614295631088.8826
2023-12-31,True,True,True,1458096980317.8982,611716838326.3619
2024-01-01,True,True,True,1520635233538.6548,635870437880.7751
2024-01-02,True,True,True,1531102207642.0977,630868604948.075
2024-01-03,True,True,True,1450990455811.1306,593120961639.2416
2024-01-04,True,True,True,1495276599118.8074,610576462846.1293
2024-01-05,True,True,True,1483506918931.1985,599116867450.0903
2024-01-06,True,True,True,1464033002240.1038,583457654302.028
2024-01-07,True,True,True,1450397516747.2607,570572658082.0035
2024-01-08,True,True,True,1543226919866.8176,602600218888.1031
2024-01-09,True,True,True,1521444112070.019,598136117132.5466
2024-01-10,True,True,True,1581118498071.6628,646910892591.0002
2024-01-11,True,True,True,1582659890901.008,654744664538.111
2024-01-12,True,True,True,1482262443916.3386,625947577563.2568
2024-01-13,True,True,True,1495741693431.542,638170273019.9161
2024-01-14,True,True,True,1452398330072.2998,617543773538.8918
2024-01-15,True,True,True,1479016095438.7747,628409671898.0938
2024-01-16,True,True,True,1503705295769.035,640294712487.6194
2024-01-17,True,True,True,1487403898416.9846,631832715085.6475
2024-01-18,True,True,True,1436766865330.0378,610274188608.553
2024-01-19,True,True,True,1446331869903.9177,613057164355.0612
2024-01-20,True,True,True,1447861359127.6777,613553504702.5833
2024-01-21,True,True,True,1439368033100.0078,607200344269.9259
2024-01-22,True,True,True,1364471069227.9578,573271807082.1621
2024-01-23,True,True,True,1360826663438.167,562564714700.1312
2024-01-24,True,True,True,1368745004397.7217,566435738477.0122
2024-01-25,True,True,True,1360420563084.013,560851413772.0896
2024-01-26,True,True,True,1420397913879.85,583298095227.4952
2024-01-27,True,True,True,1429355556078.2244,586100684432.7117
2024-01-28,True,True,True,1426492851121.3682,585141727937.9796
2024-01-29,True,True,True,1470774304671.9138,603932570113.8623
2024-01-30,True,True,True,1462188558100.706,602526217322.4254
2024-01-31,True,True,True,1437976493628.4004,586092496724.3885
2024-02-01,True,True,True,1455001781799.4365,592745858994.3125
2024-02-02,True,True,True,1463002009098.3535,598573891281.3988
2024-02-03,True,True,True,1455321472541.5408,594540504380.889
2024-02-04,True,True,True,1441701232931.611,589514357854.8135
2024-02-05,True,True,True,1446341614173.2266,592266004423.4382
2024-02-06,True,True,True,1465010564297.307,602388104853.471
2024-02-07,True,True,True,1503730364350.0828,616134368429.3407
2024-02-08,True,True,True,1526000127608.1367,619074979189.2532
2024-02-09,True,True,True,1582581305162.0518,638629750533.7662
2024-02-10,True,True,True,1599372817933.7505,643132176623.9359
2024-02-11,True,True,True,1610253671881.906,643142246504.0376
2024-02-12,True,True,True,1671601803968.4177,671824176929.3627
2024-02-13,True,True,True,1662203263364.0989,666626694708.4442
2024-02-14,True,True,True,1733421946084.7424,695584964143.9025
2024-02-15,True,True,True,1745929102975.9639,706282859352.6132
2024-02-16,True,True,True,1744385589775.8762,700160941202.2372
2024-02-17,True,True,True,1730191889201.1892,695866332262.8856
2024-02-18,True,True,True,1756783597497.44,713038389256.7963
2024-02-19,True,True,True,1761604166068.0908,725027741862.8971
2024-02-20,True,True,True,1774878397670.7705,728525594533.4257
2024-02-21,True,True,True,1755336563851.672,717295994930.1824
2024-02-22,True,True,True,1740004614564.91,713788705781.0872
2024-02-23,True,True,True,1721790359709.8203,705976004037.6666
2024-02-24,True,True,True,1755633521400.7656,723193095826.0607
2024-02-25,True,True,True,1775681110138.1587,740177471212.5154
2024-02-26,True,True,True,1852387706944.4956,761013754976.1027
2024-02-27,True,True,True,1914878383114.8948,772397092568.4548
2024-02-28,True,True,True,2055324766345.4673,804033541352.3818
2024-02-29,True,True,True,2028959121282.7705,804242703423.6396
2024-03-01,True,True,True,2086440310239.5012,836667479787.4475
2024-03-02,True,True,True,2098249291804.6824,856340884284.5962
2024-03-03,True,True,True,2127527997542.972,863378362984.416
2024-03-04,True,True,True,2266908579207.1387,898879338369.5142
2024-03-05,True,True,True,2140788645755.5808,863533374570.4902
2024-03-06,True,True,True,2244177534498.521,920650565939.4917
2024-03-07,True,True,True,2284497074813.8916,944703566556.0942
2024-03-08,True,True,True,2319199625240.6006,952556657599.6333
2024-03-09,True,True,True,2330252664053.3247,960067843463.8438
2024-03-10,True,True,True,2336231249719.2544,954491616828.7991
2024-03-11,True,True,True,2445290621636.335,1002047902387.9617
2024-03-12,True,True,True,2422055974129.8403,991752338540.5479
2024-03-13,True,True,True,2481209072223.223,1017502958753.6384
2024-03-14,True,True,True,2430536085842.5537,1001884767793.3635
2024-03-15,True,True,True,2367173588263.7295,975948043214.8916
2024-03-16,True,True,True,2220331077321.9434,913920228742.7817
2024-03-17,True,True,True,2325033137965.539,956487222597.8682
2024-03-18,True,True,True,2281337988989.0933,927906154866.3054
2024-03-19,True,True,True,2075657565040.9407,836038660271.7812
2024-03-20,True,True,True,2283550695960.6963,925157104805.0786
2024-03-21,True,True,True,2223361681239.3125,912293154903.2378
2024-03-22,True,True,True,2162558879221.9375,885045771231.4614
2024-03-23,True,True,True,2168102756748.4863,886837602761.6282
2024-03-24,True,True,True,2269307579052.116,923905319541.7639
2024-03-25,True,True,True,2354924635286.1245,955794430350.4417
2024-03-26,True,True,True,2359434283168.242,958343077187.8726
2024-03-27,True,True,True,2329170458534.24,939204670485.6282
2024-03-28,True,True,True,2376052473020.629,958959570581.8054
2024-03-29,True,True,True,2357255334932.737,957895719299.0942
2024-03-30,True,True,True,2344897627423.2153,951017644455.5796
2024-03-31,True,True,True,2411905152311.302,984335827998.9971
2024-04-01,True,True,True,2337952616991.7295,942943997448.9673
2024-04-02,True,True,True,2195384575374.539,884844734599.8179
2024-04-03,True,True,True,2208460410776.6206,887525022405.8838
2024-04-04,True,True,True,2271553129116.3267,899817484201.2861
